Review Text,standardized_date,cleaned_rating,Restaurant,Address,sentiment_score,sentiment
"We got this delivered to our house in Washington DC. We went to Texas last week and wanted to try this place. However, we heard that the line was very long and we didn't have time to do that. So we ordered it to deliver to our house. It took about a week to get what we ordered and we were very happy with them. We got a brisket, sausages and a barbecue sauce. The package was still cold when delivered. Everything was delicious. Their barbecue sauce was amazing.",2024-08-31,5,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.9099,Positive
"100/100 hands down the best bbq in the country. We have explored a lot and we would wait again for 4 hours to eat here. We arrived at 7 am on a Tuesday morning.  We were the first in the parking lot. But when we got to the line, 4 others had beaten us there.
Brisket, Ribs, and turkey were like no other. The sausage was good. And can’t forget the pulled pork. The spicy bbq sauce is the best.
Next time I wouldn’t get any sides. We tried them all, but when the meat is so good you don’t even need them.
And don’t forget the bourbon banana pie 😋😋😋
We are from out of state and got a brisket to take home to our friends. It’s vacuum sealed.
Yes this place is worth the trip, price, and wait!!",2024-09-24,5,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.9674,Positive
"Franklin Barbecue truly lives up to the hype! The brisket was melt-in-your-mouth tender with a perfect smoky flavor that made it absolutely worth the wait. The ribs and sausage were equally impressive, each bite packed with rich, savory goodness. The sides, especially the potato salad and coleslaw, were fresh and paired beautifully with the meats. The staff was friendly and kept the line moving smoothly. If you’re a barbecue lover, Franklin Barbecue is a must-visit. It's an experience you won’t forget!",2024-09-02,5,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.984,Positive
"Going to Franklin takes a level of commitment that a platter of barbecued meats can't generally command. And yet day after day throngs of people arrive hours before it opens in order to line up and grab a pound of brisket before they sell out (they always sell out). So that should tell you all you need to know about how good the food is.

Instead, I'll offer you these tips that I gathered from my three hours queuing and fifteen minutes of eating at Franklin one Sunday in September:

- We arrived an hour before opening and wished we'd made it thirty minutes before as we narrowly missed the area in the line that was shaded from the sun. Whenever you're thinking of getting there, aim for thirty minutes before then... you'll inevitably be glad you did.
- Bring a bottle of water, a portable charger for your phone and something to read or listen to.
- The brisket, beef rib (when available) and pork rib are, in my opinion, the must order items.
- The sides are nothing to write home about and can easily be ignored without missing out on anything.
- You can go in the middle door to the lobby and buy beers or soft drinks and bring them back to your spot in the line, delighting your friends with your ingenuity and generosity.

Franklin is worth it - honestly - but preparing for the experience with military precision can eliminate some of the annoying friction of it.",2024-09-22,5,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.7646,Positive
"Without a doubt the Greatest of All Time!

Believe the hype. Dig the craft. Drink the Beer. Eat the BBQ! Live the dream.

Transformative slow smoked meats. Brisket is truly the finest in the world. Turkey will blow your mind. The sausages are exceptional and unique.",2024-09-17,5,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.4983,Positive
"I cannot share enough good things about this amazing hotel! It was the absolutely perfect spot for a little getaway from my husband and our baby! The staff was so kind and accommodating from texts ahead of time to make sure we had everything we needed to even upgrading us to an incredible room by the pool. The location could not get any better on South Congress! The pool was great, the room was clean and spacious and perfectly styled and detailed. The bed was very comfortable and the ac worked wonderfully. The free cold water and free coffee was a great touch! I love the calm relaxing aesthetic of every part of this hotel. We loved it so much! They allowed us to check in to our room early and, they even let us keep our car there for a couple hours after we checked out so we could go to lunch. I will highly recommend this to anyone I know visiting Austin!",2024-06-10,5,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9956,Positive
"We came to Austin for a quick girls weekend and really enjoyed our stay at Hotel San Jose. The staff were very helpful and friendly. The vibe overall was great. We loved the design and decor of the property and our room. The beds were comfy, we liked the linens, and the robes were so cute. We also appreciated the ceiling fan in our room. We enjoyed the location and close proximity to a lot of restaurants and shopping, and it was fairly walkable (we’re all city girls and are up for a decent walk to get places) to different attractions. The street in front of the hotel is pretty busy, but our room was at the back of the property and very quiet. It was pretty hot and humid during our stay, so the pool was a perfect way to cool off in the afternoons. It was also just a great area to lounge outside of your room. The courtyard bar area seemed to be a hangout for both guests and folks not staying at the hotel, so it was lively (in a good way). They also had breakfast tacos on Saturday morning that were delicious. There is a coffee shop nextdoor that is affiliated with the hotel, so that was great for a quick drink/bite in the morning.

My only real complaint was that the only mirror in the room was in the bathroom area. It would be nice to have another mirror (ideally full length) in the main room area to make it easier for several people to get ready at the same time.

Note:  The area can be a little buggy generally. If you are sensitive to mosquitoes, consider bringing bug spray.",2024-05-28,5,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9968,Positive
We stayed here for a girls trip and it was absolute perfection. The staff were so generous and kind. Rooms were very spacious and we loved the lounge and pool to spend time together as group. You truly forget you are on bustling South Congress because the grounds are so lush and filled with birds. We booked the adjoining courtyard king rooms to allow for space for five and it was PERFECT for a group staying together. The balconies overlooking the lounge felt so special! Absolutely will visit again!,2024-04-18,5,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9816,Positive
"We love staying at Hotel San Jose. Immaculate vibes, insanely good location, and great service. Tiffany went above and beyond to make sure we were having fun and were taken care of. We will definitely be back!",2024-09-16,5,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9719,Positive
"100000/10 place. Couldn’t recommend enough! I booked this place in May for my sisters college graduation. Unfortunately, I had one of the worst travel days of my life that had me coming in for 12 hours later than what I was supposed to. Because of that, I probably spent 8 hours total at the place and they went above and beyond for me and my sister. They gave us free champagne because I was keeping them up to date on my travels, some cute lil goodies for us and a beautiful hand written note letting us know those things were on the house and they were so sorry about my travel day. AMAZING staff, excellent communication, beautiful hotel and really great location to go bop around. I will always stay at this hotel when I come to Austin!!! You guys are the best and should have a 5/5 on Google for how well you treat your guests. Thank you!!!",2024-07-04,5,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9906,Positive
