cleaned_review,standardized_date,cleaned_rating,Restaurant,Address,sentiment_score,sentiment
we got this delivered to our house in washington dc we went to texas last week and wanted to try this place however we heard that the line was very long and we didnt have time to do that so we ordered it to deliver to our house it took about a week to get what we ordered and we were very happy with them we got a brisket sausages and a barbecue sauce the package was still cold when delivered everything was delicious their barbecue sauce was amazing,2024-08-31,4.7,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.9099,Positive
"100100 hands down the best bbq in the country we have explored a lot and we would wait again for 4 hours to eat here we arrived at 7 am on a tuesday morning  we were the first in the parking lot but when we got to the line 4 others had beaten us there
brisket ribs and turkey were like no other the sausage was good and cant forget the pulled pork the spicy bbq sauce is the best
next time i wouldnt get any sides we tried them all but when the meat is so good you dont even need them
and dont forget the bourbon banana pie 
we are from out of state and got a brisket to take home to our friends its vacuum sealed
yes this place is worth the trip price and wait",2024-09-24,4.7,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.9796,Positive
franklin barbecue truly lives up to the hype the brisket was meltinyourmouth tender with a perfect smoky flavor that made it absolutely worth the wait the ribs and sausage were equally impressive each bite packed with rich savory goodness the sides especially the potato salad and coleslaw were fresh and paired beautifully with the meats the staff was friendly and kept the line moving smoothly if youre a barbecue lover franklin barbecue is a mustvisit its an experience you wont forget,2024-09-02,4.7,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.9853,Positive
"going to franklin takes a level of commitment that a platter of barbecued meats cant generally command and yet day after day throngs of people arrive hours before it opens in order to line up and grab a pound of brisket before they sell out they always sell out so that should tell you all you need to know about how good the food is

instead ill offer you these tips that i gathered from my three hours queuing and fifteen minutes of eating at franklin one sunday in september

 we arrived an hour before opening and wished wed made it thirty minutes before as we narrowly missed the area in the line that was shaded from the sun whenever youre thinking of getting there aim for thirty minutes before then youll inevitably be glad you did
 bring a bottle of water a portable charger for your phone and something to read or listen to
 the brisket beef rib when available and pork rib are in my opinion the must order items
 the sides are nothing to write home about and can easily be ignored without missing out on anything
 you can go in the middle door to the lobby and buy beers or soft drinks and bring them back to your spot in the line delighting your friends with your ingenuity and generosity

franklin is worth it  honestly  but preparing for the experience with military precision can eliminate some of the annoying friction of it",2024-09-22,4.7,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.6902,Positive
"without a doubt the greatest of all time

believe the hype dig the craft drink the beer eat the bbq live the dream

transformative slow smoked meats brisket is truly the finest in the world turkey will blow your mind the sausages are exceptional and unique",2024-09-17,4.7,Franklin Barbecue,"900 E 11th St, Austin, TX 78702, USA",0.3903,Positive
i cannot share enough good things about this amazing hotel it was the absolutely perfect spot for a little getaway from my husband and our baby the staff was so kind and accommodating from texts ahead of time to make sure we had everything we needed to even upgrading us to an incredible room by the pool the location could not get any better on south congress the pool was great the room was clean and spacious and perfectly styled and detailed the bed was very comfortable and the ac worked wonderfully the free cold water and free coffee was a great touch i love the calm relaxing aesthetic of every part of this hotel we loved it so much they allowed us to check in to our room early and they even let us keep our car there for a couple hours after we checked out so we could go to lunch i will highly recommend this to anyone i know visiting austin,2024-06-10,4.7,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9954,Positive
"we came to austin for a quick girls weekend and really enjoyed our stay at hotel san jose the staff were very helpful and friendly the vibe overall was great we loved the design and decor of the property and our room the beds were comfy we liked the linens and the robes were so cute we also appreciated the ceiling fan in our room we enjoyed the location and close proximity to a lot of restaurants and shopping and it was fairly walkable were all city girls and are up for a decent walk to get places to different attractions the street in front of the hotel is pretty busy but our room was at the back of the property and very quiet it was pretty hot and humid during our stay so the pool was a perfect way to cool off in the afternoons it was also just a great area to lounge outside of your room the courtyard bar area seemed to be a hangout for both guests and folks not staying at the hotel so it was lively in a good way they also had breakfast tacos on saturday morning that were delicious there is a coffee shop nextdoor that is affiliated with the hotel so that was great for a quick drinkbite in the morning

my only real complaint was that the only mirror in the room was in the bathroom area it would be nice to have another mirror ideally full length in the main room area to make it easier for several people to get ready at the same time

note  the area can be a little buggy generally if you are sensitive to mosquitoes consider bringing bug spray",2024-05-28,4.7,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9972,Positive
we stayed here for a girls trip and it was absolute perfection the staff were so generous and kind rooms were very spacious and we loved the lounge and pool to spend time together as group you truly forget you are on bustling south congress because the grounds are so lush and filled with birds we booked the adjoining courtyard king rooms to allow for space for five and it was perfect for a group staying together the balconies overlooking the lounge felt so special absolutely will visit again,2024-04-18,4.7,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.979,Positive
we love staying at hotel san jose immaculate vibes insanely good location and great service tiffany went above and beyond to make sure we were having fun and were taken care of we will definitely be back,2024-09-16,4.7,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9709,Positive
10000010 place couldnt recommend enough i booked this place in may for my sisters college graduation unfortunately i had one of the worst travel days of my life that had me coming in for 12 hours later than what i was supposed to because of that i probably spent 8 hours total at the place and they went above and beyond for me and my sister they gave us free champagne because i was keeping them up to date on my travels some cute lil goodies for us and a beautiful hand written note letting us know those things were on the house and they were so sorry about my travel day amazing staff excellent communication beautiful hotel and really great location to go bop around i will always stay at this hotel when i come to austin you guys are the best and should have a 55 on google for how well you treat your guests thank you,2024-07-04,4.7,Hotel San José,"1316 S Congress Ave, Austin, TX 78704, USA",0.9867,Positive
